"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","SEO","38300","46000","Policy Adviser","30","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","Grade 7","48500","60078","Team Leader","149.83333333333331","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","Grade 6","59500","71000","Team Leader","67.11666666666667","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Europe","800013","SCS1","71000","117800","Senior Policy Adviser","52","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","AO","21493","25433","Admin Support Officer","141.60525525525523","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","EO","24300","33929","Executive Officer","82.62163663663662","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","HEO","28000","38595","Policy Adviser","84.40097597597597","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","SEO","38300","46000","Policy Adviser","49.871771771771776","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","Grade 7","48500","60078","Team Leader","45.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","Grade 6","59500","71000","Team Leader","23.502702702702702","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Finance","600029","SCS1","71000","117800","Senior Policy Adviser","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","G7 Presidency","600191","HEO","28000","38595","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","G7 Presidency","600191","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","G7 Presidency","600191","Grade 7","48500","60078","Team Leader","6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","G7 Presidency","600191","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","EO","24300","33929","Executive Officer","11.77027027027027","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","HEO","28000","38595","Policy Adviser","28.644144144144143","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","Grade 7","48500","60078","Team Leader","51.86944444444445","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","Grade 6","59500","71000","Team Leader","23.59583333333333","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Global Health/C-19","600014","SCS1","71000","117800","Senior Policy Adviser","8.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","HEO","28000","38595","Policy Adviser","27.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","Grade 7","48500","60078","Team Leader","38.477477477477485","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","Grade 6","59500","71000","Team Leader","12.61111111111111","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Humanitarian & Migration","600186","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","HEO","28000","38595","Policy Adviser","26","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","SEO","38300","46000","Policy Adviser","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","Grade 7","48500","60078","Team Leader","40","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","Grade 6","59500","71000","Team Leader","31.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (India & Indian Ocean)","600167","SCS1","71000","117800","Senior Policy Adviser","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","AO","21493","25433","Admin Support Officer","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","EO","24300","33929","Executive Officer","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","HEO","28000","38595","Policy Adviser","60","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","SEO","38300","46000","Policy Adviser","11","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","Grade 7","48500","60078","Team Leader","37","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","Grade 6","59500","71000","Team Leader","22","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (NE Asia & China)","600045","SCS1","71000","117800","Senior Policy Adviser","13","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","700028","EO","24300","33929","Executive Officer","6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","700028","HEO","28000","38595","Policy Adviser","46","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","700028","SEO","38300","46000","Policy Adviser","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","700028","Grade 7","48500","60078","Team Leader","59.42666666666666","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","700028","Grade 6","59500","71000","Team Leader","30.200000000000003","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Indo-Pacific (SE Asia & Pacific)","700028","SCS1","71000","117800","Senior Policy Adviser","14","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","600010","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","600010","HEO","28000","38595","Policy Adviser","12","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","600010","SEO","38300","46000","Policy Adviser","18","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","600010","Grade 7","48500","60078","Team Leader","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","600010","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Internal Audit","600010","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","HEO","28000","38595","Policy Adviser","10.771396396396396","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","Grade 7","48500","60078","Team Leader","42.95","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","Grade 6","59500","71000","Team Leader","24.85","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","International Finance","600002","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","HEO","28000","38595","Policy Adviser","12","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","SEO","38300","46000","Policy Adviser","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","Grade 7","48500","60078","Team Leader","15.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","Grade 6","59500","71000","Team Leader","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Joint Funds Unit","600129","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","AO","21493","25433","Admin Support Officer","6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","HEO","28000","38595","Policy Adviser","6.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","Grade 7","48500","60078","Team Leader","10.822222222222223","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","Grade 6","59500","71000","Team Leader","37.361111111111114","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Legal","800012","SCS1","71000","117800","Senior Policy Adviser","6.416666666666667","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","AO","21493","25433","Admin Support Officer","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","EO","24300","33929","Executive Officer","12.864864864864865","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","HEO","28000","38595","Policy Adviser","128.86111111111111","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","SEO","38300","46000","Policy Adviser","15","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","Grade 7","48500","60078","Team Leader","120.25405405405407","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","Grade 6","59500","71000","Team Leader","49","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Middle East & North Africa","600023","SCS1","71000","117800","Senior Policy Adviser","21","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","EO","24300","33929","Executive Officer","10","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","HEO","28000","38595","Policy Adviser","62.55","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","SEO","38300","46000","Policy Adviser","9.2","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","Grade 7","48500","60078","Team Leader","30","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","Grade 6","59500","71000","Team Leader","17","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Multilateral, Sanctions & Strategic Engagement","800013","SCS1","71000","117800","Senior Policy Adviser","10","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","AO","21493","25433","Admin Support Officer","6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","EO","24300","33929","Executive Officer","17.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","HEO","28000","38595","Policy Adviser","66.24444444444444","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","SEO","38300","46000","Policy Adviser","27","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","Grade 7","48500","60078","Team Leader","55","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","Grade 6","59500","71000","Team Leader","11.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","National Security","600116","SCS1","71000","117800","Senior Policy Adviser","12","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","HEO","28000","38595","Policy Adviser","31.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","SEO","38300","46000","Policy Adviser","8.81081081081081","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","Grade 7","48500","60078","Team Leader","45.38414414414415","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","Grade 6","59500","71000","Team Leader","27.700000000000003","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Open Societies & Human Rights","600117","SCS1","71000","117800","Senior Policy Adviser","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","EO","24300","33929","Executive Officer","11.54054054054054","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","HEO","28000","38595","Policy Adviser","24.3","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","Grade 7","48500","60078","Team Leader","28.8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","Grade 6","59500","71000","Team Leader","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Overseas Territories","600118","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","AO","21493","25433","Admin Support Officer","7","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","EO","24300","33929","Executive Officer","21","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","HEO","28000","38595","Policy Adviser","43","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","Grade 7","48500","60078","Team Leader","26.6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Principal Private Secretary","600069","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","600123","AO","21493","25433","Admin Support Officer","17.125","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","600123","EO","24300","33929","Executive Officer","28.744444444444444","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","600123","HEO","28000","38595","Policy Adviser","23","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","600123","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","600123","Grade 7","48500","60078","Team Leader","12","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Protocol","600123","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","AO","21493","25433","Admin Support Officer","10.848648648648648","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","HEO","28000","38595","Policy Adviser","17.42111111111111","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","SEO","38300","46000","Policy Adviser","36.38858858858859","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","Grade 7","48500","60078","Team Leader","67.66909159159158","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","Grade 6","59500","71000","Team Leader","52.02777777777778","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Research & Evidence (Chief Scientific Adviser)","800004","SCS1","71000","117800","Senior Policy Adviser","6","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","600005","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","600005","HEO","28000","38595","Policy Adviser","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","600005","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","600005","Grade 7","48500","60078","Team Leader","13","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","600005","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Strategy","600005","SCS1","71000","117800","Senior Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","AO","21493","25433","Admin Support Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","EO","24300","33929","Executive Officer","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","HEO","28000","38595","Policy Adviser","32.614444444444445","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","SEO","38300","46000","Policy Adviser","9","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","Grade 7","48500","60078","Team Leader","43.32361111111111","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","Grade 6","59500","71000","Team Leader","17.47747747747748","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Trade","600056","SCS1","71000","117800","Senior Policy Adviser","5.35","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Transformation","800002","EO","24300","33929","Executive Officer","7.1","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Transformation","800002","HEO","28000","38595","Policy Adviser","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Transformation","800002","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Transformation","800002","Grade 7","48500","60078","Team Leader","9.552777777777777","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Transformation","800002","Grade 6","59500","71000","Team Leader","8","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Transformation","800002","SCS1","71000","117800","Senior Policy Adviser","5.216666666666667","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","AA","20200","20200","Admin Support Officer","8.680555555555554","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","AO","21493","25433","Admin Support Officer","12.916666666666666","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","EO","24300","33929","Executive Officer","17.604166666666664","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","HEO","28000","38595","Policy Adviser","20.72222222222222","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","SEO","38300","46000","Policy Adviser","<5","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","Grade 7","48500","60078","Team Leader","11.833333333333332","Policy Profession","Unknown"
"Foreign, Commonweath & Development Office","Foreign, Commonwealth and Development Office","Wilton Park","600132","Grade 6","59500","71000","Team Leader","<5","Policy Profession","Unknown"
